date,km,split_pace_sec,pace_diff_sec,elevation_change_m,hr_bpm
2026-08-12,1,362,,19,109
2026-08-12,2,352,-10,-23,158
2026-08-12,3,355,3,-28,154
2026-08-12,4,360,5,11,150
2026-08-12,5,380,20,23,172
2026-08-12,6,375,-5,16,160
2026-08-12,7,338,-37,-17,158
2026-08-12,8,320,-18,-3,174
2026-08-12,0.12,330,10,-1,185
2026-08-14,1,347,,10,134
2026-08-14,2,348,1,24,166
2026-08-14,3,361,13,31,174
2026-08-14,4,412,51,14,176
2026-08-14,5,322,-90,-31,160
2026-08-14,6,316,-6,-28,174
2026-08-14,7,352,36,-17,178
2026-08-14,8,363,11,-27,174
2026-08-14,9,336,-27,-13,176
2026-08-14,10,364,28,25,183
2026-08-14,0.03,606,242,3,188
2026-08-23,1,368,,1,110
2026-08-23,2,361,-7,-7,157
2026-08-23,3,350,-11,2,161
2026-08-23,4,405,55,1,169
2026-08-23,5,413,8,3,163
2026-08-23,6,361,-52,1,172
2026-08-23,7,425,64,-2,167
2026-08-23,8,412,-13,4,175
2026-08-23,0.09,473,61,2,172
2026-08-31,1,378,,1,121
2026-08-31,2,360,-18,-6,148
2026-08-31,3,352,-8,0,172
2026-08-31,4,436,84,1,173
2026-08-31,5,375,-61,3,164
2026-08-31,6,365,-10,6,168
2026-08-31,7,493,128,-7,179
2026-08-31,8,397,-96,4,134
2026-08-31,0.06,460,63,6,176
2026-09-08,1,372,,-4,133
2026-09-08,2,358,-14,-7,148
2026-09-08,3,352,-6,2,170
2026-09-08,4,402,50,-1,177
2026-09-08,5,414,12,6,166
2026-09-08,6,359,-55,-2,179
2026-09-08,7,378,19,-6,181
2026-09-08,0.78,405,27,9,184
2026-09-22,1,374,,23,124
2026-09-22,2,363,-11,-24,159
2026-09-22,3,373,10,-27,157
2026-09-22,4,384,11,9,142
2026-09-22,5,384,0,16,173
2026-09-22,6,399,15,23,172
2026-09-22,7,368,-31,-23,159
2026-09-22,8,359,-9,-27,167
2026-09-22,9,397,38,13,172
2026-09-22,10,373,-24,15,178
2026-09-22,0.02,850,477,2,184
2026-09-23,1,378,,25,104
2026-09-23,2,372,-6,-20,161
2026-09-23,3,367,-5,-29,154
2026-09-23,4,377,10,13,129
2026-09-23,5,384,7,18,176
2026-09-23,6,388,4,19,175
2026-09-23,7,371,-17,-22,171
2026-09-23,8,358,-13,-27,173
2026-09-23,9,383,25,8,171
2026-09-23,10,382,-1,18,180
2026-09-23,0.03,793,411,-2,178
2026-09-24,1,372,,22,153
2026-09-24,2,375,3,-23,162
2026-09-24,3,360,-15,-26,139
2026-09-24,4,381,21,10,155
2026-09-24,5,393,12,19,169
2026-09-24,6,395,2,22,166
2026-09-24,7,446,51,-23,171
2026-09-24,8,360,-86,-21,143
2026-09-24,9,390,30,3,162
2026-09-24,10,393,3,20,173
2026-09-24,0.02,754,361,-4,174
